CódigoPedido;FechaPedido;FechaEsperada;FechaEntrega;Estado;Comentarios;CódigoCliente
29;2008-08-01 00:00:00;2008-09-01 00:00:00;2008-09-01 00:00:00;Rechazado;El cliente no está conforme con el pedido;14
30;2008-08-03 00:00:00;2008-09-03 00:00:00;2008-08-31 00:00:00;Entregado;null;13
31;2008-09-04 00:00:00;2008-09-30 00:00:00;2008-10-04 00:00:00;Rechazado;El cliente ha rechazado por llegar 5 dias tarde;13
32;2007-01-07 00:00:00;2007-01-19 00:00:00;2007-01-27 00:00:00;Entregado;Entrega tardia, el cliente puso reclamacion;4
33;2007-05-20 00:00:00;2007-05-28 00:00:00;null;Rechazado;El pedido fue anulado por el cliente;4
34;2007-06-20 00:00:00;2008-06-28 00:00:00;2008-06-28 00:00:00;Entregado;Pagado a plazos;4
35;2008-03-10 00:00:00;2009-03-20 00:00:00;null;Rechazado;Limite de credito superado;4
36;2008-10-15 00:00:00;2008-12-15 00:00:00;2008-12-10 00:00:00;Entregado;null;14
37;2008-11-03 00:00:00;2009-11-13 00:00:00;null;Pendiente;El pedido nunca llego a su destino;4
38;2009-03-05 00:00:00;2009-03-06 00:00:00;2009-03-07 00:00:00;Entregado;null;19
39;2009-03-06 00:00:00;2009-03-07 00:00:00;2009-03-09 00:00:00;Pendiente;null;19
40;2009-03-09 00:00:00;2009-03-10 00:00:00;2009-03-13 00:00:00;Rechazado;null;19
41;2009-03-12 00:00:00;2009-03-13 00:00:00;2009-03-13 00:00:00;Entregado;null;19
42;2009-03-22 00:00:00;2009-03-23 00:00:00;2009-03-27 00:00:00;Entregado;null;19
43;2009-03-25 00:00:00;2009-03-26 00:00:00;2009-03-28 00:00:00;Pendiente;null;23
44;2009-03-26 00:00:00;2009-03-27 00:00:00;2009-03-30 00:00:00;Pendiente;null;23
45;2009-04-01 00:00:00;2009-03-04 00:00:00;2009-03-07 00:00:00;Entregado;null;23
46;2009-04-03 00:00:00;2009-03-04 00:00:00;2009-03-05 00:00:00;Rechazado;null;23
47;2009-04-15 00:00:00;2009-03-17 00:00:00;2009-03-17 00:00:00;Entregado;null;23
48;2008-03-17 00:00:00;2008-03-30 00:00:00;2008-03-29 00:00:00;Entregado;Según el Cliente, el pedido llegó defectuoso;26
50;2008-03-17 00:00:00;2008-08-09 00:00:00;null;Pendiente;Al parecer, el pedido se ha extraviado a la altura de Sotalbo (Ávila);26
51;2008-10-01 00:00:00;2008-10-14 00:00:00;2008-10-14 00:00:00;Entregado;Todo se entregó a tiempo y en perfecto estado, a pesar del pésimo estado de las carreteras.;26
52;2008-12-07 00:00:00;2008-12-21 00:00:00;null;Pendiente;El transportista ha llamado a Eva María para indicarle que el pedido llegará más tarde de lo esperado.;26
53;2008-10-15 00:00:00;2008-11-15 00:00:00;2008-11-09 00:00:00;Entregado;El pedido llega 6 dias antes;13
54;2009-01-11 00:00:00;2009-02-11 00:00:00;null;Pendiente;null;14
55;2008-12-10 00:00:00;2009-01-10 00:00:00;2009-01-11 00:00:00;Entregado;Retrasado 1 dia por problemas de transporte;14
56;2008-12-19 00:00:00;2009-01-20 00:00:00;null;Rechazado;El cliente a anulado el pedido el dia 2009-01-10;13
57;2009-01-05 00:00:00;2009-02-05 00:00:00;null;Pendiente;null;13
58;2009-01-24 00:00:00;2009-01-31 00:00:00;2009-01-30 00:00:00;Entregado;TODO CORRECTO;3
59;2008-11-09 00:00:00;2008-11-14 00:00:00;2008-11-14 00:00:00;Entregado;El cliente paga la mitad con tarjeta y la otra mitad con efectivo, se le realizan dos facturas;1
60;2008-12-22 00:00:00;2008-12-27 00:00:00;2008-12-28 00:00:00;Entregado;El cliente comprueba la integridad del paquete, todo correcto;1
61;2009-01-15 00:00:00;2009-01-20 00:00:00;null;Pendiente;El cliente llama para confirmar la fecha - Esperando al proveedor;3
62;2009-01-20 00:00:00;2009-01-27 00:00:00;null;Pendiente;El cliente requiere que el pedido se le entregue de 16:00h a 22:00h;1
63;2009-01-22 00:00:00;2009-01-27 00:00:00;null;Pendiente;El cliente requiere que el pedido se le entregue de 9:00h a 13:00h;1
64;2009-01-24 00:00:00;2009-01-31 00:00:00;2009-01-30 00:00:00;Entregado;TODO CORRECTO;1
65;2009-02-02 00:00:00;2009-02-08 00:00:00;null;Rechazado;El cliente carece de saldo en la cuenta asociada;1
66;2009-02-06 00:00:00;2009-02-12 00:00:00;null;Rechazado;El cliente anula la operacion para adquirir mas productos;3
67;2009-02-07 00:00:00;2009-02-13 00:00:00;null;Entregado;El pedido aparece como entregado pero no sabemos en que fecha;3
68;2009-02-10 00:00:00;2009-02-17 00:00:00;2009-02-20 00:00:00;Entregado;El cliente se queja bastante de la espera asociada al producto;3
74;2009-01-14 00:00:00;2009-01-22 00:00:00;null;Rechazado;El pedido no llego el dia que queria el cliente por fallo del transporte;15
75;2009-01-11 00:00:00;2009-01-13 00:00:00;2009-01-13 00:00:00;Entregado;El pedido llego perfectamente;15
76;2008-11-15 00:00:00;2008-11-23 00:00:00;2008-11-23 00:00:00;Entregado;null;15
77;2009-01-03 00:00:00;2009-01-08 00:00:00;null;Pendiente;El pedido no pudo ser entregado por problemas meteorologicos;15
78;2008-12-15 00:00:00;2008-12-17 00:00:00;2008-12-17 00:00:00;Entregado;Fue entregado, pero faltaba mercancia que sera entregada otro dia;15
79;2009-01-12 00:00:00;2009-01-13 00:00:00;2009-01-13 00:00:00;Entregado;null;28
80;2009-01-25 00:00:00;2009-01-26 00:00:00;null;Pendiente;No terminó el pago;28
81;2009-01-18 00:00:00;2009-01-24 00:00:00;null;Rechazado;Los productos estaban en mal estado;28
82;2009-01-20 00:00:00;2009-01-29 00:00:00;2009-01-29 00:00:00;Entregado;El pedido llego un poco mas tarde de la hora fijada;28
83;2009-01-24 00:00:00;2009-01-28 00:00:00;null;Entregado;null;28
89;2007-10-05 00:00:00;2007-12-13 00:00:00;2007-12-10 00:00:00;Entregado;La entrega se realizo dias antes de la fecha esperada por lo que el cliente quedo satisfecho;35
90;2009-02-07 00:00:00;2008-02-17 00:00:00;null;Pendiente;Debido a la nevada caída en la sierra, el pedido no podrá llegar hasta el día ;27
91;2009-03-18 00:00:00;2009-03-29 00:00:00;2009-03-27 00:00:00;Entregado;Todo se entregó a su debido tiempo, incluso con un día de antelación;27
92;2009-04-19 00:00:00;2009-04-30 00:00:00;2009-05-03 00:00:00;Entregado;El pedido se entregó tarde debido a la festividad celebrada en España durante esas fechas;27
93;2009-05-03 00:00:00;2009-05-30 00:00:00;2009-05-17 00:00:00;Entregado;El pedido se entregó antes de lo esperado.;27
94;2009-10-18 00:00:00;2009-11-01 00:00:00;null;Pendiente;El pedido está en camino.;27
95;2008-01-04 00:00:00;2008-01-19 00:00:00;2008-01-19 00:00:00;Entregado;null;35
96;2008-03-20 00:00:00;2008-04-12 00:00:00;2008-04-13 00:00:00;Entregado;La entrega se retraso un dia;35
97;2008-10-08 00:00:00;2008-11-25 00:00:00;2008-11-25 00:00:00;Entregado;null;35
98;2009-01-08 00:00:00;2009-02-13 00:00:00;null;Pediente;null;35
99;2009-02-15 00:00:00;2009-02-27 00:00:00;null;Pendiente;null;16
100;2009-01-10 00:00:00;2009-01-15 00:00:00;2009-01-15 00:00:00;Entregado;El pedido llego perfectamente;16
101;2009-03-07 00:00:00;2009-03-27 00:00:00;null;Rechazado;El pedido fue rechazado por el cliente;16
102;2008-12-28 00:00:00;2009-01-08 00:00:00;2009-01-08 00:00:00;Entregado;Pago pendiente;16
103;2009-01-15 00:00:00;2009-01-20 00:00:00;2009-01-24 00:00:00;Pendiente;null;30
104;2009-03-02 00:00:00;2009-03-06 00:00:00;2009-03-06 00:00:00;Entregado;null;30
105;2009-02-14 00:00:00;2009-02-20 00:00:00;null;Rechazado;el producto ha sido rechazado por la pesima calidad;30
106;2009-05-13 00:00:00;2009-05-15 00:00:00;2009-05-20 00:00:00;Pendiente;null;30
107;2009-04-06 00:00:00;2009-04-10 00:00:00;2009-04-10 00:00:00;Entregado;null;30
108;2009-04-09 00:00:00;2009-04-15 00:00:00;2009-04-15 00:00:00;Entregado;null;16
109;2006-05-25 00:00:00;2006-07-28 00:00:00;2006-07-28 00:00:00;Entregado;null;38
110;2007-03-19 00:00:00;2007-04-24 00:00:00;2007-04-24 00:00:00;Entregado;null;38
111;2008-03-05 00:00:00;2008-03-30 00:00:00;2008-03-30 00:00:00;Entregado;null;36
112;2009-03-05 00:00:00;2009-04-06 00:00:00;2009-05-07 00:00:00;Pendiente;null;36
113;2008-10-28 00:00:00;2008-11-09 00:00:00;2009-01-09 00:00:00;Rechazado;El producto ha sido rechazado por la tardanza de el envio;36
114;2009-01-15 00:00:00;2009-01-29 00:00:00;2009-01-31 00:00:00;Entregado;El envio llego dos dias más tarde debido al mal tiempo;36
115;2008-11-29 00:00:00;2009-01-26 00:00:00;2009-02-27 00:00:00;Pendiente;null;36
116;2008-06-28 00:00:00;2008-08-01 00:00:00;2008-08-01 00:00:00;Entregado;null;38
117;2008-08-25 00:00:00;2008-10-01 00:00:00;null;Rechazado;El pedido ha sido rechazado por la acumulacion de pago pendientes del cliente;38
118;2009-02-15 00:00:00;2009-02-27 00:00:00;null;Pendiente;null;16
119;2009-01-10 00:00:00;2009-01-15 00:00:00;2009-01-15 00:00:00;Entregado;El pedido llego perfectamente;16
120;2009-03-07 00:00:00;2009-03-27 00:00:00;null;Rechazado;El pedido fue rechazado por el cliente;16
121;2008-12-28 00:00:00;2009-01-08 00:00:00;2009-01-08 00:00:00;Entregado;Pago pendiente;16
122;2009-04-09 00:00:00;2009-04-15 00:00:00;2009-04-15 00:00:00;Entregado;null;16
123;2009-01-15 00:00:00;2009-01-20 00:00:00;2009-01-24 00:00:00;Pendiente;null;30
124;2009-03-02 00:00:00;2009-03-06 00:00:00;2009-03-06 00:00:00;Entregado;null;30
125;2009-02-14 00:00:00;2009-02-20 00:00:00;null;Rechazado;el producto ha sido rechazado por la pesima calidad;30
126;2009-05-13 00:00:00;2009-05-15 00:00:00;2009-05-20 00:00:00;Pendiente;null;30
127;2009-04-06 00:00:00;2009-04-10 00:00:00;2009-04-10 00:00:00;Entregado;null;30
128;2008-11-10 00:00:00;2008-12-10 00:00:00;2008-12-29 00:00:00;Rechazado;El pedido ha sido rechazado por el cliente por el retraso en la entrega;38
